Transaction_ID,Transaction_Date,Warehouse_Name,City,Product_Category,Product_Name,Supplier_Name,Batch_Number,Inventory_Type,Quantity_Received,Quantity_Dispatched,Damaged_Units,Missing_Units,Unit_Cost_GBP,Selling_Price_GBP,Storage_Section,Employee_Handling,Dispatch_Status,Delivery_Days,Temperature_Controlled,Stock_Audit_Status,Customer_Returns
TXN100000,14-02-2025,London Central Hub,London,Electronics,Laptop,ASDA Distribution,BATCH-4582,Inbound,809,301,15,7,171.75,201.25,A1,Noah Wilson,Delayed,9,No,Passed,7
TXN100001,22-02-2025,Manchester Storage,Glasgow,Fashion,Handbag,London Trade Corp,BATCH-5333,Inbound,334,23,10,13,411.6,497.56,D2,Harry Johnson,Slightly Delayed,6,No,Passed,2
TXN100002,05-12-2025,Leeds Fulfillment,Manchester,Home Appliances,Microwave,UK Retail Goods,BATCH-2654,Outbound,899,663,39,11,694.94,1107.18,C1,Emily Harris,On Time,1,No,Passed,5
TXN100003,09-01-2026,Newcastle Depot,Bristol,Pharma,Cough Syrup,Britannia Pharma,BATCH-4598,Outbound,264,191,17,20,90.33,139.51,A1,Noah Wilson,Delayed,9,Yes,Passed,25
TXN100004,22-07-2025,Newcastle Depot,Birmingham,Pharma,Bandages,Britannia Pharma,BATCH-3287,Inbound,324,53,13,18,1052.26,1389.27,C1,Amelia Clark,Delayed,8,No,Failed,11
TXN100005,10-02-2026,Manchester Storage,Bristol,Grocery,Cooking Oil,Northern Supply Chain,BATCH-8668,Outbound,571,525,5,1,1034.02,1248.05,A1,Harry Johnson,On Time,3,No,Passed,24
TXN100006,13-05-2026,Birmingham Distribution,Manchester,Pharma,Paracetamol,Britannia Pharma,BATCH-9317,Inbound,350,242,10,14,8.88,14.26,B1,Charlie Davies,Slightly Delayed,5,Yes,Passed,17
TXN100007,03-05-2025,Manchester Storage,Manchester,Home Appliances,Mixer,Prime Wholesale UK,BATCH-2133,Inbound,663,351,31,0,138.68,187.78,B1,Emily Harris,Slightly Delayed,5,Yes,Passed,8
TXN100008,13-08-2025,Newcastle Depot,Manchester,Home Appliances,Air Fryer,UK Retail Goods,BATCH-4681,Inbound,266,257,34,6,856.97,1182.01,C2,Oliver Smith,Slightly Delayed,6,Yes,Failed,18
TXN100009,06-02-2025,Leeds Fulfillment,Newcastle,Grocery,Rice Pack,UK Retail Goods,BATCH-9834,Inbound,122,110,40,1,278.59,483.02,D2,Noah Wilson,Slightly Delayed,6,No,Passed,25
TXN100010,11-12-2025,Manchester Storage,London,Fashion,Jeans,Northern Supply Chain,BATCH-6559,Inbound,146,32,27,11,511.18,729.41,B2,Noah Wilson,On Time,1,Yes,Passed,17
TXN100011,18-02-2026,Manchester Storage,London,Fashion,Jeans,Tesco Supply Ltd,BATCH-2528,Inbound,482,113,17,14,303.52,530.03,B1,Amelia Clark,Delayed,8,No,Failed,15
TXN100012,27-05-2025,Newcastle Depot,Birmingham,Grocery,Tea Bags,UK Retail Goods,BATCH-5861,Inbound,974,80,10,12,7.58,10.41,A1,Oliver Smith,Delayed,8,No,Passed,1
TXN100013,05-02-2025,Liverpool Logistics,Bristol,Electronics,Keyboard,ASDA Distribution,BATCH-5033,Inbound,538,534,33,5,72.97,106.21,A2,Amelia Clark,On Time,3,No,Passed,8
TXN100014,21-04-2026,Manchester Storage,London,Grocery,Coffee,Prime Wholesale UK,BATCH-2638,Inbound,294,155,25,4,807.67,1058.05,B2,Jack Taylor,Slightly Delayed,6,Yes,Passed,11
TXN100015,18-02-2026,London Central Hub,Leeds,Electronics,Tablet,ASDA Distribution,BATCH-3200,Outbound,428,165,10,14,1001.33,1594.6,A2,Harry Johnson,Delayed,10,Yes,Passed,8
TXN100016,09-04-2026,London Central Hub,Manchester,Pharma,Vitamin Tablets,Northern Supply Chain,BATCH-5533,Inbound,784,371,13,20,1024.23,1489.01,A1,Charlie Davies,Slightly Delayed,5,Yes,Failed,20
TXN100017,07-10-2025,Glasgow Warehouse,Birmingham,Pharma,Vitamin Tablets,Northern Supply Chain,BATCH-3088,Inbound,809,472,35,13,675.28,795.69,C1,Charlie Davies,On Time,3,Yes,Passed,11
TXN100018,19-01-2026,Liverpool Logistics,Birmingham,Grocery,Cooking Oil,Sainsbury Logistics,BATCH-7755,Inbound,732,125,22,17,1061.54,1469.66,B1,Charlie Davies,Delayed,10,No,Passed,25
