Product_Name,Product_Category,Transaction_Count,Total_Received,Total_Dispatched,Total_Loss_Units,Loss_Percentage,Total_Customer_Returns,Return_Percentage,Estimated_Sales_Value_GBP,Estimated_Gross_Profit_GBP
Cough Syrup,Pharma,264,141609,75352,7909,5.59,3505,4.65,66344902.51,20626720.96
Vitamin Tablets,Pharma,264,135663,70229,7741,5.71,3167,4.51,63857100.67,20245907.37
Paracetamol,Pharma,243,128809,64886,7219,5.60,3028,4.67,59037589.04,18781423.65
Mixer,Home Appliances,238,126881,67566,7102,5.60,3164,4.68,58354986.54,18546292.93
Vacuum Cleaner,Home Appliances,266,142945,74406,8180,5.72,3390,4.56,60490755.32,18169377.90
Keyboard,Electronics,203,115011,61037,6270,5.45,2717,4.45,56005500.61,17803697.43
Bandages,Pharma,236,121710,63926,7191,5.91,2740,4.29,55452109.85,17396695.48
Microwave,Home Appliances,227,115506,60449,6816,5.90,2855,4.72,53543307.85,16930421.30
Air Fryer,Home Appliances,275,136832,66645,8281,6.05,3521,5.28,53634095.96,16688358.06
Tablet,Electronics,199,108149,57855,5790,5.35,2362,4.08,50921916.07,15546611.52
