Yr,Mo,Txns,Dispatched,Loss_Pct,Gross_Profit
2025,1,295,80302,5.83,20599823.16
2025,2,311,86560,5.37,20676072.68
2025,3,283,78841,5.66,20976444.35
2025,4,340,88400,5.96,24725373.10
2025,5,292,79243,5.92,21248724.42
2025,6,285,75344,5.96,19191438.82
2025,7,313,84864,5.41,22100559.16
2025,8,329,85430,6.16,22783862.08
2025,9,272,80364,5.85,22170442.40
2025,10,315,85092,5.81,25264699.16
2025,11,290,79947,5.54,19826420.83
2025,12,336,88156,5.76,26296503.66
2026,1,311,85993,5.55,23209773.27
2026,2,262,72210,5.75,20263847.01
2026,3,293,75755,5.81,20668101.57
2026,4,300,80757,5.58,20560084.35
2026,5,173,46617,5.44,11744175.45
